Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes
6,2,19.2,13,5.5,9.6,51.8,3
4.8,4.7,22.2,8.2,4.7,2.6,27.6,2.8
7.2,10.7,19.2,6.3,4.7,16.1,36.8,9
7.9,8.3,7.2,4.5,16.5,12.4,62.9,7
5.2,5.4,4.3,6.3,30.1,34.9,37.2,6.8
5.9,4.8,24.2,7.3,2.9,4.5,56.1,1.8
14.3,8.4,22.4,2.6,12,1.6,27.5,8.6
8.8,4.8,12.4,9.2,10,15.3,60.9,11.9
9.6,11.9,10.8,2.9,7.7,1.4,29.6,7.6
10.5,4.3,12,12.2,11.1,12.1,50.2,3.7
3.8,2.7,34.1,10.3,10.5,7.7,27.4,1.7
11.1,2.8,16.2,12.1,1,1.4,46,2.7
9.6,2.5,12.8,3.6,6.3,1.2,52.2,10.9
8.6,16,13.4,4,1.5,1.6,56.2,1.8
6.2,8.7,13.9,4.5,14,35.3,15,47.2
8.4,13.5,28.4,1.9,1.4,1.2,18.9,15.2
9.8,10.6,10.7,7.1,3.7,21.1,61.5,4.1
10.7,7.2,3.7,14.7,4.6,3.3,62.9,9.8
14.5,8.5,2.3,1.8,2.9,1.1,35.9,13.4
10.3,6.2,9.9,8.6,6.3,6.5,43.8,3.8
12.5,24.9,14.5,4.9,4.7,3.5,21.4,2.7
9.5,8.5,45.5,2.2,1.8,1.4,28.9,3.8
5.4,3,3.3,14.3,5.2,3.5,68.7,15.8
12.9,16.3,16,1.5,17.1,2.8,14.9,2.4
13.2,7.3,13.1,3.2,34.8,10.5,28.9,3.7
7.9,2.1,16.9,9.7,2.1,5.2,71.6,4.9
12.9,6.1,23,1.6,1.8,13.9,27.4,10.3
11,7.7,9.8,19.7,4.5,14.8,32.2,2.9
3.1,2.2,34.9,15.6,6.8,2.4,62.8,9.5
7,4.1,44,3.7,1.1,3.2,50.8,10.3
6.3,5.3,4.3,15.6,3.9,6.7,15.1,22.4
5.8,5.3,35.1,2.5,3.1,40.5,28.9,3.8
6.2,2,5.4,22.4,1.1,1.6,54.7,7.6
6.9,8.9,28.6,3.7,2,2.7,40.6,3.2
6.6,4.4,18.8,6.8,2.3,6.4,74.4,3
7.1,4.5,22.2,10,28.8,6.6,33.6,3.7
5.6,4.7,12.8,18.5,5.8,4.2,66.7,14.3
3.6,1.9,2.6,25.2,2.7,16.4,48.3,1.6
5.8,6.2,5.1,13.1,3,3.1,55.1,4.6
5.6,4.7,55.2,5.7,5.5,3.9,11.7,1.8
18.9,7.5,17.1,1.2,2.2,1.1,47.1,5.8
13.9,8,3.1,7.3,15.6,1.6,45.4,3.5
5,4.1,12.2,16.9,7,2.5,41.7,7.1
11.4,9.8,13.6,2.2,11.8,3.5,56,2.5
12.5,3.7,20,6.5,4.1,1.7,70.7,8.5
14.2,3.3,8,6.7,20,7,67,2.9
19.3,8.2,4.6,1.5,3,1.3,16,1.8
11,9.7,36.7,8.8,5.5,6.9,24,5.3
6,10.5,18.6,4.7,11.3,28.3,50.2,3.9
6.2,3.6,7.4,17.4,8.9,3.1,50.6,7.1
8.1,9.1,20.9,11.4,6.3,5.4,33.1,23.7
7.1,2.7,11.3,16.7,4.2,3.7,53.5,1.9
5.1,5.8,5,13.4,8.7,6.2,65,7.8
5.8,4,59.2,3,4.2,7.1,13,2.9
6.1,9.1,11.9,7.5,2.4,3.8,41.8,11.6
5,3.4,46.2,8.9,3.3,4,50.7,3.2
12.3,7.4,6.9,2.3,7.1,1.9,51.2,2.1
7.5,7,4.8,10.4,1.3,3,52.4,22.2
4.5,3.4,7.8,18.5,6.2,3.8,37.3,2.3
5.8,3.5,6.3,11.9,4.8,3,51.6,15.4
6.9,5,3.1,17.2,3.5,24.8,58,21.1
6,3,3.9,22.8,8.8,2.7,60.5,5.1
11,15.4,10.9,4.7,28.5,30.3,19.6,3.8
3.2,1.6,28.4,21.1,6.8,4,52.2,6.5
9.2,31.2,25,1.6,3.4,6.7,7.4,3.9
3.1,1.4,9.9,32.6,4.6,5.9,32.5,3.5
7,5.1,5.7,15.8,10.8,10.3,44.2,3.9
6.6,2.3,57.9,7.6,4.3,3.3,20.6,1.8
3.8,1.9,3.3,42.4,1.7,2.1,30.8,1.7
5,1.8,15.8,26.8,0,4.2,53.3,4.4
3.7,3.3,1.5,4.5,3.8,2.6,77.7,70.1
4.4,2.6,5.7,14.2,9,5.3,66.2,3
5.5,2.9,6.2,12.7,19.2,6.6,57.1,7.6
11.8,2.8,2.9,5.3,5,32.2,48.3,2.1
9.3,16.4,18.3,6.6,10.1,7.8,26.5,17.8
13.5,8,12.4,9,1.2,1.7,56.4,8.8
8.1,11.4,4.4,2.4,2.9,4.2,45.3,23.9
8.1,5.5,5.7,10.5,2.4,3.3,41.4,16.9
11.8,6.4,15.5,17.8,2.6,1.6,45.5,1.8
7.1,1.7,6.9,21.7,1.7,1.5,65.2,1.6
4.1,1.5,7.9,16.5,0,0,70.7,2.2
7.8,7.3,6.2,24.1,0,1.7,30.9,31.8
4.9,3.6,29.3,7.2,6.8,8.7,30.2,38.8
9.4,14.6,4.2,3.6,7.2,14.6,39.1,3.6
4.8,4.8,10.7,5.1,29.1,45.5,45.7,2.1
3.5,3.2,30.5,7.7,24.8,3.2,59,5.1
8.8,10,53.8,1.6,18,1.2,8.4,3.2
3,1.9,13.3,23.9,1.3,1.7,44.1,10.6
10.2,6.8,14.4,2,1.3,1.5,39.4,62.2
14.7,14.9,8.6,3.7,13.1,2.9,39.6,6.2
4.5,4.4,6.6,27.7,3.7,5.1,17.3,6.4
6.7,8.6,9.5,4.5,33.6,33.1,50.4,8.6
9.9,7.8,5.2,3.5,0,0,65.8,69.3
7.9,1.7,5.4,5.2,0,26.4,75.3,6.7
13,5.8,20.1,5.2,2.9,6,52.6,9.6
7.2,3.8,1.5,19.5,1.7,2.5,61.3,3.6
13,14.5,26.1,1.2,14.2,3.4,4.6,38.6
8.5,17.3,23.2,7,6.5,3,39.5,13.2
8.8,2.8,6.6,6.3,8.1,6.2,74.6,2.1
4.4,4.4,14.3,16.9,4.1,20,29.3,6.6
18.1,8.2,7.7,1.9,2.1,1.3,20.5,21.4
10.1,2.5,4.5,6.2,26.7,35.5,59.1,1.3
6.1,5.8,3.4,8.8,0,4.4,92.4,11.6
3.7,3,9.6,18.2,6,10.4,45.4,7.7
7.4,8.4,33,1.5,6.8,20.4,29.8,11.4
9.1,11,11,1.8,10.1,32.5,25.7,7.3
6.5,10.6,54.3,1.3,1.7,20.1,11.4,4
11.4,2.6,3.3,2.5,8.6,1.4,56.9,29.1
4.5,5.9,3.8,7.5,39.1,27.4,24.8,8.5
8.7,12.1,21.3,1.5,35.5,6.5,10,5.7
10.3,3,4.1,9.3,6,1.2,53.3,2.3
7,28,3,3.1,9.4,2.2,5.3,16.6
4.2,1.9,6.2,5.6,94.8,2.8,37.8,1.5
6.2,4.4,7.3,3.2,42,73.8,27.2,6.5
10,13.6,15.8,3.2,1.3,7.8,68.6,2.1
6.8,8.3,14.8,5.4,6.3,13.9,23.9,29.1
9.6,7.5,12.9,1.3,14.9,6.2,1,60.3
4,1.4,48.8,17.2,3.5,2.6,33.9,3
6.8,3.8,30.3,7,2.9,3.3,63.4,9.5
14.7,8.9,8.5,3.7,10.2,4.7,28.2,3.8
5.4,2.4,16.5,28.1,2.3,2.2,32.4,3.8
6,4.9,30.4,3.2,2.2,29.2,53.5,3.6
7.9,3.9,41.1,2,2,22.3,18.1,3.2
14.6,8.5,25.4,1.2,1.3,1.6,15.5,18.8
10.8,5.6,6.4,6.2,21.4,1.4,35.7,2.1
8.4,7.5,2.2,2.6,0,0,34,87.6
3.2,2.7,10.2,8.3,33.3,69.2,45.7,4.7
4.4,3.3,20,26.7,0,0,44.4,1.4
14.4,28.2,16.1,1.5,6,2.5,13.8,3.4
4.1,2.2,75.4,2.1,2.2,12.3,17,9.1
6.8,4.5,18.9,3.8,46.3,31.6,32.6,8
11.6,2.4,15.5,4.1,1.5,1.2,55.1,3.7
3.7,1.6,3.3,29.3,3.8,2.8,58.5,1.2
4.5,1.7,9.2,6.8,57.7,28,40,3.9
9.4,2.7,1.3,7.1,27.2,19.7,67,2.1
11.6,16.1,1.6,4.9,3.5,1.1,36.8,42.8
8.4,5.9,8.8,3.6,0,0,79.4,21.3
6.1,2.1,4.5,3.6,94.4,2,38.6,2
14.3,13,22.2,1.3,8.8,1.4,15.9,15
5.7,3.1,12.7,7,6.2,7.1,32.3,1.6
6.8,7.8,3.5,2.1,2.5,10.7,34.7,6
6,3.2,11.9,10.8,7.5,7.6,22.6,3.3
10.8,7.9,4.4,6.1,3.4,4.4,11.2,15.5
3.6,1.9,30,7,7.5,5.5,23.1,1.8
6.4,1.5,17.5,5.2,2.5,1.4,37.9,6.3
5.7,4.9,4,5,6,7.4,14.2,29.2
6.4,3.6,12.8,10.3,9.6,11.9,12.4,1.9
4.4,3,2,5.3,3.1,5.7,45.1,1.7
4.5,2.3,6.7,5.9,13.5,3.8,46.2,2
4.1,2.6,13.1,2.3,2.1,1.8,48.9,2.4
6.5,5.4,4.6,5.4,8.4,8.8,24.4,13.8
4.1,1.7,9.3,9.2,1.6,6.1,44.4,9.7
5.8,6.6,4.8,2.7,7.6,2.5,32.9,3.9
4.1,2.1,5.4,16.5,1.9,1.1,21.1,2.7
3.2,6,45.2,1.4,2,1.6,8.3,2.1
9,11.6,12,2,1,1.3,22.7,10.9
7.7,4.9,3,2.6,1.1,2.5,67.7,3.7
7.2,8.6,11.7,2.3,7.3,2,14.7,4.9
12.7,5.7,2.2,2.5,5,1.2,24.5,3.7
8.8,8,24.9,1.3,12.6,2.5,18.3,5.5
4.7,6.2,4.9,9.5,6.8,4.4,44.3,5.8
6.3,4,5,4.2,1.4,2,47.5,12.3
7.6,2.4,9.7,9.8,5.7,5.1,39.5,6.8
5.5,5.8,4.3,3.9,5.6,5.9,26.5,2
7.6,6.9,3.6,7,7.6,4.2,16.1,27.1
10.9,4,8.5,2.9,6.3,1.8,39.7,2.2
9.5,19.8,3.8,2.8,5,2.9,22,3.7
7.3,7.3,2.4,4.7,4.2,1.2,23.1,23.1
6.1,7.4,15.9,2.2,5.5,3,29.4,1.9
10.9,4.1,12,1.4,13.2,1.6,13.1,2.3
7.5,11.9,5.5,3,3.5,9.6,40.2,14.3
6.8,3.7,24.8,4.3,5.3,3.5,17,1.9
6.9,5.5,4.5,2.2,1.5,1.5,65.2,4.3
4.9,3.8,5.2,2.6,1.9,3.3,46.2,7.6
3.6,4,35.3,2.9,4.9,31.1,7.9,2.9
6.1,4.3,13.8,4.3,2.5,1.8,45.8,12
7.8,5.1,19.2,6.7,1.8,3.5,31.1,3.9
4,6.3,3,13.7,2.1,23.8,30.9,5.2
9.2,9.7,4.7,2.8,1.6,6.7,27.5,23.5
4.4,5.6,29,3.4,4,2.2,4.8,1.8
7.2,3,11.9,11.3,6.7,4.7,24.8,1.5
9,2.7,8.5,3.1,5.1,1.4,48.8,12.4
6.3,5.7,10.6,5.8,3.9,4.8,18.9,3.9
5.2,4.3,8.4,4.9,15.7,1.9,32.2,1.8
5.4,6.4,32.2,2.1,1.5,13.2,6.3,10.1
5.4,4.2,20.3,3.1,3.5,3.9,52.5,7.4
5.5,5.6,8.7,9,12.2,11.7,12.4,2
6.9,6,4.8,2,0,0,55.3,34.5
4.9,4.3,13.3,1.7,3.5,20.2,6.5,13.3
3.8,5.4,6.2,7.8,3.4,5.5,25.3,26.1
4.6,7.1,7.6,3.9,2.1,2.7,38.1,3.8
3.1,2.5,12.1,8,2.2,8.3,39.4,7.6
5.7,12.8,30.2,1.3,1.3,1.5,12.6,18.6
9.7,9.3,27.8,1.2,10.1,4.2,2.6,3.4
7.4,2.8,6.3,5.3,1.3,1.2,43.4,3.7
4.5,3.1,5.7,4,3.4,5,35.6,7.6
7.2,4.4,5.8,8.2,3.2,2.1,15.5,2.1
2.6,2.4,8.9,10.1,5.9,3.4,50.7,1.5
4.9,4.9,10,5.8,21.4,10.6,33.3,16.5
7.3,12.4,3.6,1.6,1.1,1.6,50.7,13.2
7,6.4,12.4,1.6,1.3,1.7,9.4,6.7
3.9,12.3,21.6,1.5,1.4,5.1,11.9,4.1
4.5,5.2,8.9,3.5,15.5,2.1,14.9,42.6
5.2,1.2,9.5,3.4,0,0,45,1.3
6.9,9.2,16.6,3.4,5,1.6,14.9,5
9.2,4.5,6.3,5.4,4.9,10.2,9.7,2
6.4,2.8,3.7,9.6,5.8,1.6,30,2.7
10.5,5.8,13.6,2.8,5.6,2.9,24.5,1.8
12.5,13,7.5,1.5,13.7,3.7,4.4,4.8
9.7,14.8,4.6,2.1,4.1,1.4,12.4,9
9.5,5.1,17.4,2.5,3.5,1.2,35.7,18.2
4.7,1.3,26,4.7,0,1.3,21.7,1.3
5.1,2.4,10.9,7.8,2.4,1.9,20.2,3.8
11.2,4.9,2,1.8,2.2,1.2,10.7,3.9
3.6,2.1,37.1,1.6,4.5,13.8,27,4.5
13.7,5.4,2.8,1.9,2.8,1.3,24.5,2
3.6,3.4,8.2,6.5,2.4,6.9,23.4,7.7
3.4,2.4,21.1,9.1,6.2,2.7,35.6,11.2
4.4,1.7,34.5,1.5,1.4,8.3,6.3,2
4,9.6,8.2,2.1,23.7,5.6,13.7,5.8
8.6,2.8,4.9,3.5,0,0,28.5,1.2
6.7,2,17.8,1.7,0,0,27.2,2.9
5.7,2.4,1.9,6.5,4.3,6.7,27.8,4.3
6.6,2.8,3.2,1.4,57.9,1.9,7.9,2.3
4.6,9.8,14.5,2,1.1,1,29.9,4.3
5.9,4.4,18.7,3.6,2.3,20.2,6,29.5
4.7,5.9,19,6.1,0,2.1,13.6,2.3
11.3,2.7,6.2,2.2,1.6,3.7,24.5,1.2
6.6,4.4,4.4,1.5,2.6,1.1,12.5,2.1
3.8,1.7,13.8,3.5,2.1,1.3,28.6,2.2
5.3,2,4.2,3.1,12.4,1.4,32.6,2.1
3.9,2.5,13.7,3.3,2.1,1.3,13.4,1.3
4.6,3.1,3.1,3.3,1.4,11.3,27.6,1.9
7.2,2.2,4.9,2,2.2,1.4,24.4,7.8
5.6,2.2,4,1.9,1.5,5.2,34.5,6.2
3.8,2.4,4.5,4.2,2.3,25.5,19.3,4.1
3.6,1.7,6.3,2.6,2.5,1.1,35.4,1.3
4.7,5.3,4.1,1.8,3.8,2.9,3.4,3.2
6.6,2.8,6.6,1.9,7.3,1.2,10.1,2.5
6,2.3,1.4,1.6,7.9,1.9,15.7,4.6
4.1,2.9,7.6,3.9,1.8,1.3,28.9,3.9
3.6,9.1,6.7,3,0,0,25.5,8.7
5,1.6,10.9,4.3,4.5,1.6,26.5,1.5
6.1,9,2,1.5,4.1,1.6,7.6,3.7
3.8,1.3,6.8,4.2,3.5,1.2,32.7,1.3
3.3,1.8,14.1,1.3,1.9,3.8,26.4,5.2
3.6,3.2,8.5,1.9,13.9,2.9,17,4.1
7,7.3,5.2,1.5,3.4,1.2,8.1,2.6
2.7,3.5,11.6,2.8,4.7,3.9,13.2,8.9
7,4.1,6.4,1.3,1.9,4.4,9,5.6
3.4,2.1,8.2,2.8,5.2,1.1,28.3,2
4.8,2.7,4,3.2,2.2,1.1,11,2.1
5.1,2.4,20.4,1.3,0,0,13.1,2.1
6.3,2.5,8.7,1.7,13.7,1.3,11.5,5.4
